trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,11.62,12.07,11.62,11.92,11.51,0.41,3.56,930317.23,1099043.464,2654121.1404,4.19,4.19,222661.1695,145576.1863,1.8321,19.5214,13.2596,1.7499,1.874,2654121.1404,222661.1695,4.1782,6.3906,1.9,21952.87,185726,30206.46,255908,32426.9,274521,25316.97,214155,8211.4,68275,21483.89,182619,27064.93,229110,33591.0,283980,27763.38,234601
20150106,11.76,12.28,11.63,12.01,11.92,0.09,0.76,792749.52,951578.232,2674160.6457,4.16,4.16,222661.1695,145576.1863,1.846,19.6688,13.3597,1.7632,1.8881,2674160.6457,222661.1695,3.5603,5.4456,1.33,17694.89,147272,26388.5,219803,29149.89,242854,21924.39,182820,1125.23,8703,13840.43,115693,27740.56,231219,31078.96,258636,22497.72,187201
20150107,11.94,12.16,11.56,11.73,12.01,-0.28,-2.33,573244.47,678623.265,2611815.5182,4.26,4.26,222661.1695,145576.1863,1.8029,19.2102,13.0483,1.7221,1.8441,2611815.5182,222661.1695,2.5745,3.9378,0.89,4377.54,36878,19399.81,163788,24339.36,205678,19745.51,166900,-6312.41,-53693,10236.77,86664,19257.28,162814,21130.58,178376,17237.6,145390
20150108,11.69,11.77,11.26,11.33,11.73,-0.4,-3.41,450203.3,515757.95,2522751.0504,4.41,4.41,222661.1695,145576.1863,1.7415,18.5551,12.6033,1.6633,1.7812,2522751.0504,222661.1695,2.0219,3.0926,0.72,2832.73,24786,13557.69,118282,18334.97,159960,16847.51,147152,-7867.41,-68562,8298.0,72592,14283.17,124542,15601.77,136119,13389.97,116927
20150109,11.25,11.82,11.22,11.32,11.33,-0.01,-0.09,477955.54,549934.134,2520524.4387,4.42,4.42,222661.1695,145576.1863,1.7399,18.5388,12.5922,1.6619,1.7797,2520524.4387,222661.1695,2.1466,3.2832,0.74,4535.48,39209,14377.56,124869,19371.9,168417,16708.33,145460,169.5,724,4176.01,36489,14078.99,122345,19006.09,165066,17732.18,154056
20150112,11.24,11.49,11.0,11.18,11.32,-0.14,-1.24,356001.59,399327.88,2489351.875,4.47,4.47,222661.1695,145576.1863,1.7184,18.3095,12.4365,1.6413,1.7577,2489351.875,222661.1695,1.5988,2.4455,0.55,2584.57,22871,9485.66,84412,14254.33,127149,13608.13,121569,-2184.57,-19854,5122.68,45885,11486.71,102410,12634.81,112470,10688.51,95237
20150113,11.16,11.38,11.11,11.2,11.18,0.02,0.18,207248.54,232780.496,2493805.0984,4.46,4.46,222661.1695,145576.1863,1.7215,18.3422,12.4587,1.6442,1.7608,2493805.0984,222661.1695,0.9308,1.4236,0.39,1003.76,8912,6045.69,53779,8546.54,76133,7681.98,68425,-890.7,-8096,3178.62,28385,5516.72,49128,7821.54,69594,6761.09,60142
20150114,11.21,11.37,11.1,11.3,11.2,0.1,0.89,216766.18,243806.073,2516071.2154,4.42,4.42,222661.1695,145576.1863,1.7368,18.506,12.57,1.6589,1.7765,2516071.2154,222661.1695,0.9735,1.489,0.52,674.24,5989,7524.9,66929,8961.08,79642,7219.66,64200,-1185.72,-10636,3309.58,29517,6075.28,54037,8328.32,73970,6666.69,59237
20150115,11.34,11.64,11.24,11.62,11.3,0.32,2.83,313485.31,358433.973,2587322.7896,4.3,4.3,222661.1695,145576.1863,1.786,19.0301,12.9259,1.7059,1.8268,2587322.7896,222661.1695,1.4079,2.1534,0.92,3295.2,28718,9820.99,85880,12187.45,106705,10539.68,92183,1309.5,11143,2904.16,25486,8258.48,72257,12875.66,112574,11805.01,103168
20150116,11.72,11.87,11.6,11.73,11.62,0.11,0.95,361702.89,424513.092,2611815.5182,4.26,4.26,222661.1695,145576.1863,1.8029,19.2102,13.0483,1.7221,1.8441,2611815.5182,222661.1695,1.6245,2.4846,1.15,3294.01,28066,12531.42,106746,15447.76,131620,11178.04,95271,-1893.09,-16308,3701.74,31559,11902.41,101444,15474.31,131822,11372.78,96878
20150119,11.01,11.27,10.56,10.56,11.73,-1.17,-9.97,707926.71,771417.508,2351301.9499,4.73,4.73,222661.1695,145576.1863,1.6231,17.2941,11.7468,1.5503,1.6602,2351301.9499,222661.1695,3.1794,4.8629,2.43,7818.82,71991,20852.61,191265,23366.37,214403,22425.78,205940,-9643.96,-87394,18122.13,166523,22361.88,205421,19212.18,176132,14767.38,135522
20150120,10.71,10.89,10.51,10.76,10.56,0.2,1.89,377583.83,405563.739,2395834.1838,4.65,4.65,222661.1695,145576.1863,1.6538,17.6216,11.9693,1.5796,1.6916,2395834.1838,222661.1695,1.6958,2.5937,1.04,3348.27,31086,10989.16,102292,13986.52,130264,12232.33,113942,-1192.93,-11234,3544.05,33066,11507.24,107148,13352.76,124276,12152.23,113094
20150121,10.8,11.25,10.75,11.2,10.76,0.44,4.09,408123.89,450532.717,2493805.0984,4.46,4.46,222661.1695,145576.1863,1.7215,18.3422,12.4587,1.6442,1.7608,2493805.0984,222661.1695,1.8329,2.8035,1.03,6490.46,58567,12322.31,111676,14776.74,133928,11463.67,103952,5381.86,48389,3335.7,30331,11439.15,103603,16405.9,148533,13872.42,125658
20150122,11.21,11.24,11.02,11.15,11.2,-0.05,-0.45,334789.01,373117.719,2482672.0399,4.48,4.48,222661.1695,145576.1863,1.7138,18.2604,12.4031,1.6369,1.7529,2482672.0399,222661.1695,1.5036,2.2998,0.77,4867.89,43638,10317.34,92565,12321.24,110570,9804.01,88004,-6956.12,-62534,8153.66,73256,9724.17,87240,10788.4,96749,8644.23,77533
20150123,11.23,11.75,11.16,11.55,11.15,0.4,3.59,608542.53,698331.804,2571736.5077,4.33,4.33,222661.1695,145576.1863,1.7753,18.9154,12.8481,1.6956,1.8158,2571736.5077,222661.1695,2.733,4.1802,1.39,11325.51,98475,20974.78,182727,21198.82,184931,16333.99,142409,4597.77,39462,7504.26,65484,18062.12,157519,23796.65,207315,20470.07,178224
20150126,11.6,12.71,11.55,12.71,11.55,1.16,10.04,1361843.01,1675148.182,2830023.4643,3.93,3.93,222661.1695,145576.1863,1.9536,20.8152,14.1384,1.8659,1.9982,2830023.4643,222661.1695,6.1162,9.3548,2.79,54591.42,442275,40053.86,326338,40479.2,329722,32340.4,263117,25910.16,213421,21521.83,174608,45756.87,371995,54367.1,442398,45819.08,372450
20150127,12.93,13.32,12.51,13.17,12.71,0.46,3.62,1945711.65,2532521.981,2932447.6023,3.8,3.8,222661.1695,145576.1863,2.0243,21.5685,14.6501,1.9335,2.0705,2932447.6023,222661.1695,8.7384,13.3656,3.15,48052.36,368233,69982.53,537343,74646.54,573953,60537.06,465929,-2461.52,-20856,61087.89,469170,70977.52,545264,67467.67,518271,53685.41,412753
