trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,13.96,14.44,13.9,14.33,14.01,0.32,2.28,113128.36,160408.1618,779579.2485,3.4892,3.4892,54401.9015,25128.7775,2.5387,20.5961,18.9869,0.7514,0.7,855667.0431,59711.5871,2.0795,4.5019,1.49,700.44,4966,5383.94,37925,6434.37,45388,3522.03,24849,1925.49,13500,902.67,6420,5844.68,41178,6371.01,44937,2922.41,20594
20150106,14.35,14.69,14.27,14.6,14.33,0.27,1.88,99493.54,144051.4174,794267.7619,3.4247,3.4247,54401.9015,25128.7775,2.5865,20.9842,19.3446,0.7655,0.7132,871789.1717,59711.5871,1.8289,3.9593,1.15,464.01,3188,4554.5,31432,5790.44,40019,3588.85,24805,751.16,5091,187.92,1303,4166.18,28768,6709.34,46353,3334.36,23020
20150107,14.63,14.67,14.43,14.62,14.6,0.02,0.14,75317.59,109553.2455,795355.7999,3.42,3.42,54401.9015,25128.7775,2.59,21.0129,19.3711,0.7666,0.7142,872983.4034,59711.5871,1.3845,2.9973,0.81,799.32,5490,2294.76,15791,4508.23,30992,3352.96,23044,688.44,4711,230.82,1587,1923.59,13219,5676.98,39044,3123.87,21468
20150108,14.62,14.91,14.54,14.65,14.62,0.03,0.21,89047.56,130927.6826,796987.857,3.413,3.413,54401.9015,25128.7775,2.5954,21.0561,19.4109,0.7682,0.7156,874774.751,59711.5871,1.6368,3.5436,0.99,172.84,1170,3450.11,23461,5643.21,38390,3826.16,26023,521.02,3522,446.98,3039,2546.75,17333,6181.0,42044,3917.57,26628
20150109,14.66,14.88,14.41,14.47,14.65,-0.18,-1.23,93234.72,137227.5613,787195.5147,3.4554,3.4554,54401.9015,25128.7775,2.5635,20.7973,19.1724,0.7587,0.7068,864026.6653,59711.5871,1.7138,3.7103,1.02,786.64,5314,3433.2,23303,5428.31,36896,4074.59,27722,-106.63,-796,1223.11,8314,2766.2,18782,5652.77,38414,4080.65,27724
20150112,14.4,14.44,14.02,14.16,14.47,-0.31,-2.14,72638.22,103348.4308,770330.9252,3.5311,3.5311,54401.9015,25128.7775,2.5086,20.3518,18.7617,0.7425,0.6917,845516.0733,59711.5871,1.3352,2.8906,0.77,0.06,0,2622.53,18410,4372.03,30741,3338.31,23473,-1484.63,-10474,762.43,5368,2593.04,18206,4518.4,31782,2459.05,17270
20150113,14.18,14.44,14.1,14.44,14.16,0.28,1.98,53116.93,76096.7307,785563.4577,3.4626,3.4626,54401.9015,25128.7775,2.5582,20.7542,19.1327,0.7572,0.7054,862235.3177,59711.5871,0.9764,2.1138,0.62,41.06,285,2030.96,14167,3303.96,23070,2233.67,15595,-142.3,-1012,0.0,0,1765.63,12337,3651.58,25482,2192.43,15297
20150114,14.48,14.5,14.0,14.16,14.44,-0.28,-1.94,72873.21,103765.9814,770330.9252,3.5311,3.5311,54401.9015,25128.7775,2.5086,20.3518,18.7617,0.7425,0.6917,845516.0733,59711.5871,1.3395,2.9,0.95,180.58,1265,2969.06,20821,4106.0,28856,3120.91,21932,-2089.35,-14685,341.26,2410,4897.73,34361,3217.92,22632,1919.64,13470
20150115,14.17,14.25,14.03,14.22,14.16,0.06,0.42,68594.23,97130.9594,773595.0393,3.5162,3.5162,54401.9015,25128.7775,2.5192,20.438,18.8412,0.7456,0.6946,849098.7686,59711.5871,1.2609,2.7297,0.9,515.41,3641,2696.33,19036,3839.08,27113,2662.28,18803,-842.69,-5984,766.04,5429,4979.86,35159,2501.66,17660,1465.52,10345
20150116,14.29,14.51,14.15,14.51,14.22,0.29,2.04,100393.52,143834.1984,789371.5908,3.4459,3.4459,54401.9015,25128.7775,2.5706,20.8548,19.2254,0.7608,0.7088,866415.1288,59711.5871,1.8454,3.9952,1.39,1113.36,7767,5562.52,38791,4310.07,30095,3396.86,23736,690.91,4801,1348.08,9408,5243.77,36650,4360.59,30415,3430.39,23916
20150119,14.32,14.66,13.9,14.09,14.51,-0.42,-2.89,113453.1,162385.8319,766522.7921,3.5486,3.5486,54401.9015,25128.7775,2.4962,20.2512,18.6689,0.7388,0.6883,841336.2622,59711.5871,2.0855,4.5149,1.54,170.09,1183,4504.01,31460,5844.41,40783,5115.05,35775,-2570.0,-18035,1506.47,10559,4824.51,33731,5252.17,36639,4050.4,28271
20150120,14.13,14.58,14.13,14.54,14.09,0.45,3.19,107429.96,154955.2793,791003.6478,3.4388,3.4388,54401.9015,25128.7775,2.5759,20.898,19.2651,0.7624,0.7103,868206.4764,59711.5871,1.9747,4.2752,1.32,1195.67,8281,4352.15,30142,5613.84,38949,4332.09,30046,457.74,3092,1301.17,9013,3652.94,25333,6077.66,42150,4461.99,30922
20150121,14.6,15.3,14.55,15.14,14.54,0.6,4.13,208251.82,312806.0331,823644.7887,3.3025,3.3025,54401.9015,25128.7775,2.6822,21.7603,20.0601,0.7939,0.7396,904033.4287,59711.5871,3.828,8.2874,2.25,4725.05,31288,10109.24,67252,9393.77,62648,7052.5,47063,1584.46,10421,2907.83,19334,9935.13,66097,10398.11,69252,8039.5,53568
20150122,15.21,15.49,15.1,15.25,15.14,0.11,0.73,150696.8,230465.2126,829628.9979,3.2787,3.2787,54401.9015,25128.7775,2.7017,21.9184,20.2059,0.7996,0.7449,910601.7033,59711.5871,2.7701,5.997,1.26,2403.52,15697,6958.74,45456,8549.44,55938,5134.8,33605,-1601.62,-10580,2618.03,17165,6816.49,44547,8390.51,54849,5221.47,34136
20150123,15.25,15.31,14.9,14.98,15.25,-0.27,-1.77,125658.06,189024.0938,814940.4845,3.3378,3.3378,54401.9015,25128.7775,2.6538,21.5304,19.8481,0.7855,0.7317,894479.5748,59711.5871,2.3098,5.0006,0.92,1187.7,7900,5097.44,33853,7307.44,48600,5309.78,35306,-5991.75,-39871,4216.2,28065,6031.49,40114,5094.98,33836,3559.69,23644
20150126,14.97,15.25,14.91,15.17,14.98,0.19,1.27,111906.43,169393.7057,825276.8458,3.296,3.296,54401.9015,25128.7775,2.6875,21.8034,20.0999,0.7954,0.741,905824.7763,59711.5871,2.057,4.4533,0.79,784.37,5176,4233.14,27953,7454.72,49256,4467.1,29522,1045.23,6868,1334.35,8823,5099.16,33682,7010.72,46312,3495.1,23089
20150127,15.18,15.34,14.86,15.34,15.17,0.17,1.12,123004.34,185674.4695,834525.169,3.2595,3.2595,54401.9015,25128.7775,2.7176,22.0478,20.3251,0.8043,0.7493,915975.7461,59711.5871,2.261,4.895,0.87,706.99,4638,5275.1,34958,7000.37,46388,5584.81,37020,555.1,3570,2239.97,14855,5794.65,38416,6193.91,41014,4338.74,28718
20150128,15.38,15.79,15.23,15.41,15.34,0.07,0.46,176383.08,273977.7135,838333.3021,3.2446,3.2446,54401.9015,25128.7775,2.73,22.1484,20.4179,0.808,0.7528,920155.5572,59711.5871,3.2422,7.0192,1.23,1207.37,7741,7633.83,49150,10534.95,67826,8021.57,51666,-494.13,-3277,3257.48,21035,6363.22,40954,10051.9,64681,7725.13,49713
20150129,15.3,15.41,15.09,15.12,15.41,-0.29,-1.88,87648.9,133248.4971,822556.7507,3.3069,3.3069,54401.9015,25128.7775,2.6786,21.7316,20.0336,0.7928,0.7386,902839.197,59711.5871,1.6111,3.488,0.64,113.28,748,3937.82,25927,4763.05,31319,4510.64,29655,-2979.58,-19661,2315.29,15293,3539.24,23270,4074.15,26772,3396.11,22315
20150130,15.18,15.28,14.99,15.01,15.12,-0.11,-0.73,68923.33,103978.6368,816572.5415,3.3311,3.3311,54401.9015,25128.7775,2.6591,21.5735,19.8879,0.787,0.7332,896270.9224,59711.5871,1.2669,2.7428,0.55,342.95,2281,3104.41,20577,3544.53,23495,3405.95,22571,-2249.52,-14937,894.42,5956,3144.74,20855,3737.26,24761,2621.43,17351
20150202,14.56,14.56,14.0,14.32,15.01,-0.69,-4.6,122774.4,174990.3892,779035.2295,3.4916,3.4916,54401.9015,25128.7775,2.5369,20.5818,18.9737,0.7509,0.6995,855069.9273,59711.5871,2.2568,4.8858,1.08,531.58,3735,4783.99,33561,6745.22,47331,5438.2,38148,-2804.87,-19792,3411.98,24023,5681.72,39861,4850.35,33993,3554.94,24896
