trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,12.25,13.18,12.23,13.0,12.14,0.86,7.08,642813.38,827333.976,2603882.2316,3.85,3.85,200298.6332,132240.7516,3.1338,13.5792,12.069,2.264,2.0967,2603882.2316,200298.6332,3.2093,4.8609,2.56,24748.27,192555,18535.85,144221,19679.69,152712,19769.45,153325,18347.22,142627,10651.3,83081,22298.7,173299,25179.05,195460,24604.21,190974
20150106,13.0,13.76,12.82,13.18,13.0,0.18,1.38,573407.4,764406.568,2639935.9856,3.79,3.79,200298.6332,132240.7516,3.1772,13.7672,12.2362,2.2954,2.1257,2639935.9856,200298.6332,2.8628,4.3361,1.71,11251.33,83737,22261.01,166944,23605.39,177328,19319.69,145376,6656.82,49389,7899.88,58956,21487.87,161154,25225.4,189317,21824.28,163957
20150107,13.2,13.25,12.78,12.91,13.18,-0.27,-2.05,264065.41,341243.97,2585855.3546,3.87,3.87,200298.6332,132240.7516,3.1121,13.4852,11.9855,2.2483,2.0822,2585855.3546,200298.6332,1.3184,1.9969,0.68,2621.55,20296,8165.93,63180,11214.31,86765,12122.43,93825,-6466.59,-50177,4371.98,33852,6234.31,48188,11985.75,92770,11532.18,89255
20150108,12.83,13.2,12.7,12.97,12.91,0.06,0.46,301590.64,391543.871,2597873.2726,3.86,3.86,200298.6332,132240.7516,3.1265,13.5479,12.0412,2.2588,2.0918,2597873.2726,200298.6332,1.5057,2.2806,0.8,3986.77,30590,11279.16,86832,13076.32,100757,10810.72,83402,3883.92,29446,3470.59,26911,9658.77,74447,13298.74,102290,12724.86,97933
20150109,12.81,13.21,12.58,12.73,12.97,-0.24,-1.85,369142.6,480551.104,2549801.6006,3.93,3.93,200298.6332,132240.7516,3.0687,13.2972,11.8184,2.217,2.0531,2549801.6006,200298.6332,1.843,2.7914,0.93,4426.41,33861,14928.26,114573,15318.86,117678,13381.47,103030,129.99,10,9499.14,73401,12948.1,99227,13183.14,101070,12424.61,95445
20150112,12.59,12.95,12.52,12.78,12.73,0.05,0.39,238082.67,303719.895,2559816.5323,3.91,3.91,200298.6332,132240.7516,3.0807,13.3494,11.8648,2.2257,2.0612,2559816.5323,200298.6332,1.1886,1.8004,0.55,2436.86,18978,8728.51,68358,9506.89,74564,9699.66,76182,-515.35,-4143,3138.92,24596,8361.94,65524,9918.99,77752,8952.08,70211
20150113,12.75,13.49,12.73,13.46,12.78,0.68,5.32,475261.6,630455.188,2696019.6029,3.71,3.71,200298.6332,132240.7516,3.2447,14.0597,12.4961,2.3441,2.1709,2696019.6029,200298.6332,2.3728,3.5939,1.36,16212.86,121959,17976.91,135482,16251.15,122639,12600.72,95154,7852.5,58799,6443.63,48575,17080.06,128681,22157.57,167032,17360.39,130945
20150114,13.46,13.65,13.11,13.3,13.46,-0.16,-1.19,275532.33,368721.801,2663971.8216,3.76,3.76,200298.6332,132240.7516,3.2061,13.8926,12.3476,2.3163,2.1451,2663971.8216,200298.6332,1.3756,2.0836,0.84,6648.97,49575,12714.47,95045,9519.63,71141,7989.06,59772,657.87,4786,6926.98,51802,11778.59,88032,10395.13,77624,7771.42,58074
20150115,13.35,13.55,13.21,13.48,13.3,0.18,1.35,210639.45,282094.188,2700025.5755,3.71,3.71,200298.6332,132240.7516,3.2495,14.0806,12.5147,2.3476,2.1741,2700025.5755,200298.6332,1.0516,1.5928,0.63,3668.73,27328,5708.09,42594,8836.02,66002,9996.49,74716,1176.07,8543,2904.33,21649,6240.57,46589,9314.48,69548,9749.96,72853
20150116,13.52,13.58,13.25,13.34,13.48,-0.14,-1.04,239676.94,320623.493,2671983.7669,3.75,3.75,200298.6332,132240.7516,3.2157,13.9344,12.3847,2.3232,2.1515,2671983.7669,200298.6332,1.1966,1.8124,0.76,5026.24,37518,9644.39,71987,9711.78,72668,7679.9,57503,-299.25,-2511,5785.28,43280,10680.06,79783,9199.4,68778,6397.58,47837
