trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,6.19,6.35,6.0,6.3,6.17,0.13,2.11,409928.63,254823.9204,696173.4593,4.7619,4.7619,110503.7237,81210.858,0.8879,17.1663,23.3768,0.5983,0.6296,1219935.4442,193640.5467,3.7096,5.0477,0.91,1286.76,20664,4862.53,78172,9178.25,147640,10154.78,163453,-662.11,-11226,1485.77,24281,4400.92,70989,9088.92,145958,10506.71,168701
20150106,6.25,6.44,6.18,6.4,6.3,0.1,1.59,374959.93,237524.9707,707223.8317,4.6875,4.6875,110503.7237,81210.858,0.902,17.4388,23.7478,0.6078,0.6396,1239299.4989,193640.5467,3.3932,4.6171,0.95,489.49,7672,4476.07,70676,8752.94,138159,10033.56,158447,510.36,7877,1160.98,18452,4732.46,74756,8399.14,132493,9459.48,149252
20150107,6.41,6.79,6.37,6.73,6.4,0.33,5.16,676628.83,448440.3137,743690.0605,4.4577,4.4577,110503.7237,81210.858,0.9485,18.338,24.9723,0.6392,0.6726,1303200.8793,193640.5467,6.1231,8.3318,1.68,3414.41,51757,10242.89,154441,15570.69,234941,15615.95,235490,4240.0,63895,1884.95,28380,9640.02,145615,15533.8,234406,17785.18,268227
20150108,6.91,6.99,6.54,6.57,6.73,-0.16,-2.38,522441.96,354006.381,726009.4647,4.5662,4.5662,110503.7237,81210.858,0.926,17.902,24.3786,0.624,0.6566,1272218.3918,193640.5467,4.7278,6.4332,1.08,2852.58,41402,6645.56,97715,12192.54,180367,13709.26,202948,-746.8,-11914,1790.73,26597,7483.48,110352,12864.7,189764,13261.02,195719
20150109,6.6,6.63,6.41,6.41,6.57,-0.16,-2.44,296536.34,193247.8488,708328.8689,4.6802,4.6802,110503.7237,81210.858,0.9034,17.4661,23.7849,0.6088,0.6406,1241235.9043,193640.5467,2.6835,3.6514,0.64,1910.99,29187,3566.78,54693,6447.67,99015,7399.33,113642,-1733.36,-26995,1156.93,17850,4844.21,74392,6374.01,97734,6949.61,106560
20150112,6.39,6.39,6.08,6.12,6.41,-0.29,-4.52,239006.06,148176.2025,676282.789,4.902,4.902,110503.7237,81210.858,0.8626,16.6759,22.7089,0.5812,0.6116,1185080.1458,193640.5467,2.1629,2.943,0.52,251.79,4024,2246.83,36204,5181.96,83572,7136.96,115206,-2655.11,-42723,1579.53,25400,3259.2,52520,4687.72,75618,5291.08,85469
20150113,6.11,6.21,6.11,6.16,6.12,0.04,0.65,131650.92,81245.0964,680702.938,4.8701,4.8701,110503.7237,81210.858,0.8682,16.7849,22.8573,0.585,0.6156,1192825.7677,193640.5467,1.1914,1.6211,0.31,0.0,0,1784.05,28905,3193.01,51737,3146.25,50990,139.56,2208,362.39,5887,1832.65,29707,3107.63,50343,2820.63,45695
20150114,6.16,6.19,6.02,6.06,6.16,-0.1,-1.62,148223.72,90262.278,669652.5656,4.9505,4.9505,110503.7237,81210.858,0.8541,16.5124,22.4862,0.5755,0.6056,1173461.713,193640.5467,1.3413,1.8252,0.4,0.0,0,1551.67,25473,3126.56,51328,4347.97,71423,-644.19,-10652,518.78,8557,1677.08,27567,3330.28,54613,3500.06,57486
20150115,6.07,6.3,6.01,6.3,6.06,0.24,3.96,180257.71,111625.4855,696173.4593,4.7619,4.7619,110503.7237,81210.858,0.8879,17.1663,23.3768,0.5983,0.6296,1219935.4442,193640.5467,1.6312,2.2196,0.67,666.84,10644,2312.16,37297,3897.95,63019,4285.01,69289,904.51,14387,247.06,3947,1919.41,30917,4012.13,64889,4983.36,80496
20150116,6.3,6.5,6.3,6.49,6.3,0.19,3.02,250206.37,160700.9431,717169.1668,4.6225,4.6225,110503.7237,81210.858,0.9147,17.6841,24.0818,0.6164,0.6486,1256727.1481,193640.5467,2.2642,3.0809,1.26,1306.08,20279,4183.35,65150,5491.94,85543,5085.26,79182,-471.8,-7420,459.78,7177,2881.52,44909,6009.52,93544,6715.82,104524
