trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,22.88,23.85,22.8,23.75,23.0,0.75,3.26,20274.18,47178.9321,475000.0,4.2105,4.2105,20000.0,6740.69,2.1369,20.322,43.0933,3.4449,3.7678,475000.0,20000.0,1.0137,3.0077,1.74,256.87,1100,1260.82,5404,2064.53,8881,1108.3,4774,1043.14,4462,132.95,573,903.35,3875,2316.72,9960,1337.5,5752
20150106,23.8,25.2,23.7,24.78,23.75,1.03,4.34,55627.71,135970.1534,495600.0,4.0355,4.0355,20000.0,6740.69,2.2296,21.2033,44.9622,3.5943,3.9312,495600.0,20000.0,2.7814,8.2525,3.91,440.22,1781,2904.19,11911,5216.84,21341,5035.74,20594,-1056.21,-4306,898.76,3677,3844.67,15796,4837.28,19779,4016.28,16376
20150107,24.25,24.25,23.71,24.0,24.78,-0.78,-3.15,22416.86,53549.9851,480000.0,4.1667,4.1667,20000.0,6740.69,2.1594,20.5359,43.5469,3.4812,3.8075,480000.0,20000.0,1.1208,3.3256,0.96,0.0,0,795.34,3334,2151.27,9004,2408.37,10079,-613.74,-2573,3.14,13,1162.31,4872,2057.55,8610,2131.99,8922
20150108,23.97,23.98,23.42,23.71,24.0,-0.29,-1.21,12481.94,29575.2114,474200.0,4.2176,4.2176,20000.0,6740.69,2.1333,20.2877,43.0207,3.4391,3.7615,474200.0,20000.0,0.6241,1.8517,0.49,0.0,0,371.45,1572,1381.92,5828,1204.15,5082,-610.96,-2574,0.0,0,391.59,1663,1234.02,5206,1331.9,5613
20150109,24.0,24.04,23.3,23.33,23.71,-0.38,-1.6,12479.75,29684.4826,466600.0,4.2863,4.2863,20000.0,6740.69,2.0992,19.9626,42.3312,3.384,3.7012,466600.0,20000.0,0.624,1.8514,0.47,0.0,0,335.02,1410,1364.85,5727,1263.43,5321,-512.37,-2169,0.0,0,411.59,1731,1195.68,5021,1356.03,5705
20150112,23.28,23.28,22.51,22.59,23.33,-0.74,-3.17,11142.96,25389.0379,451800.0,4.4267,4.4267,20000.0,6740.69,2.0326,19.3294,40.9885,3.2767,3.5838,451800.0,20000.0,0.5571,1.6531,0.45,0.0,0,208.14,913,1140.77,5007,1189.76,5222,-422.65,-1853,38.23,169,518.3,2276,886.08,3888,1096.06,4809
20150113,22.65,23.24,22.0,23.2,22.59,0.61,2.7,20900.54,47120.5962,464000.0,4.3103,4.3103,20000.0,6740.69,2.0875,19.8513,42.0953,3.3652,3.6806,464000.0,20000.0,1.045,3.1007,0.92,30.24,133,882.73,3910,2034.54,9032,1764.54,7826,-1264.81,-5673,0.0,0,1285.42,5745,1767.66,7834,1658.97,7322
20150114,23.01,23.1,22.55,22.62,23.2,-0.58,-2.5,12058.89,27483.2827,452400.0,4.4209,4.4209,20000.0,6740.69,2.0353,19.3551,41.043,3.281,3.5886,452400.0,20000.0,0.6029,1.789,0.76,0.0,0,607.03,2666,1191.96,5227,949.33,4166,-8.43,-38,0.0,0,615.46,2705,1381.88,6062,750.98,3292
20150115,22.62,22.88,22.58,22.77,22.62,0.15,0.66,7829.83,17776.2563,455400.0,4.3917,4.3917,20000.0,6740.69,2.0488,19.4834,41.3151,3.3028,3.6124,455400.0,20000.0,0.3915,1.1616,0.57,0.0,0,139.23,613,853.14,3756,783.88,3454,-53.11,-238,0.0,0,307.63,1355,933.06,4110,535.56,2358
20150116,22.87,23.14,22.68,23.1,22.77,0.33,1.45,9867.26,22602.655,462000.0,4.329,4.329,20000.0,6740.69,2.0785,19.7658,41.9139,3.3507,3.6647,462000.0,20000.0,0.4934,1.4638,0.77,0.0,0,267.99,1168,1052.19,4593,940.09,4107,-108.86,-479,0.0,0,396.63,1734,966.79,4224,896.85,3909
20150119,22.58,23.33,22.15,22.26,23.1,-0.84,-3.64,18673.1,42535.43,445200.0,4.4924,4.4924,20000.0,6740.69,2.0029,19.047,40.3898,3.2288,3.5315,445200.0,20000.0,0.9337,2.7702,1.51,112.52,485,596.17,2604,2055.56,9023,1384.36,6094,93.85,391,210.13,928,1039.52,4555,1803.37,7920,1095.6,4803
20150120,22.36,23.02,22.36,23.01,22.26,0.75,3.37,14017.49,31869.6315,460200.0,4.3459,4.3459,20000.0,6740.69,2.0704,19.6888,41.7506,3.3376,3.6504,460200.0,20000.0,0.7009,2.0795,1.01,0.0,0,534.76,2352,1420.12,6244,1232.07,5421,-140.48,-622,0.0,0,518.4,2282,1353.91,5956,1314.64,5780
20150121,23.02,23.58,22.93,23.47,23.01,0.46,2.0,18081.05,42206.1994,469400.0,4.2608,4.2608,20000.0,6740.69,2.1117,20.0824,42.5852,3.4043,3.7234,469400.0,20000.0,0.9041,2.6824,1.45,0.0,0,1015.88,4346,1847.75,7919,1355.58,5810,-180.64,-779,221.02,945,992.92,4255,1693.56,7259,1311.71,5617
20150122,23.6,23.83,23.3,23.71,23.47,0.24,1.02,15309.42,36138.6025,474200.0,4.2176,4.2176,20000.0,6740.69,2.1333,20.2877,43.0207,3.4391,3.7615,474200.0,20000.0,0.7655,2.2712,1.12,267.79,1131,559.55,2369,1493.08,6328,1293.42,5481,-5.07,-28,0.0,0,581.02,2463,1589.2,6731,1443.63,6115
20150123,23.6,24.4,23.29,24.3,23.71,0.59,2.49,29054.03,69201.0721,486000.0,4.1152,4.1152,20000.0,6740.69,2.1864,20.7926,44.0912,3.5247,3.8551,486000.0,20000.0,1.4527,4.3102,1.91,563.5,2353,1654.95,6918,2701.02,11354,1996.74,8414,858.51,3540,0.0,0,1674.98,7014,2974.08,12518,2267.15,9506
20150126,24.1,25.38,24.0,25.32,24.3,1.02,4.2,48850.06,121179.8809,506400.0,3.9494,3.9494,20000.0,6740.69,2.2782,21.6654,45.942,3.6727,4.0169,506400.0,20000.0,2.4425,7.247,2.57,218.76,878,3789.45,15190,4405.31,17778,3703.43,15000,1088.83,4291,103.69,410,2869.67,11541,4933.6,19907,4210.0,16988
20150127,25.52,27.85,25.52,27.2,25.32,1.88,7.43,119416.18,321857.0329,544000.0,3.6765,3.6765,20000.0,6740.69,2.4474,23.274,49.3532,3.9454,4.3152,544000.0,20000.0,5.9708,17.7157,4.76,5066.91,18675,12347.58,45960,8969.97,33291,5801.2,21491,4694.43,17284,2581.62,9553,9335.96,34699,11227.38,41638,9040.7,33527
20150128,27.37,28.58,26.65,27.46,27.2,0.26,0.96,96956.43,269760.5104,549200.0,3.6417,3.6417,20000.0,6740.69,2.4708,23.4965,49.8249,3.9831,4.3564,549200.0,20000.0,4.8478,14.3838,2.1,3024.63,10864,9345.23,33605,8973.32,32244,5632.3,20241,4650.47,16533,2597.08,9371,7530.68,27124,10153.43,36459,6694.29,24000
20150129,27.0,28.9,26.8,28.59,27.46,1.13,4.12,63091.25,176694.5144,571800.0,3.4977,3.4977,20000.0,6740.69,2.5724,24.4634,51.8753,4.147,4.5357,571800.0,20000.0,3.1546,9.3598,1.02,2242.43,7910,5872.97,20983,6181.01,22132,3373.03,12067,3031.46,10589,779.36,2771,5801.04,20703,6579.45,23526,4509.6,16091
20150130,28.27,29.2,27.69,28.58,28.59,-0.01,-0.04,35505.84,100723.2841,571600.0,3.499,3.499,20000.0,6740.69,2.5715,24.4548,51.8571,4.1455,4.5341,571600.0,20000.0,1.7753,5.2674,0.5,449.81,1577,3841.74,13506,3747.72,13237,2031.62,7181,341.36,1148,914.95,3183,3024.4,10677,3864.48,13634,2267.07,8007
