trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,20.5,21.99,20.32,21.9,20.4,1.5,7.35,593047.55,1261231.2562,3066494.9729,5.71,5.71,140022.6015,65137.9167,3.0495,8.9328,15.4739,2.944,4.3568,3070932.9224,140225.2476,4.2354,9.1045,2.0,23403.11,109939,38957.59,183374,37273.08,175403,26489.17,124332,17217.98,80393,18076.23,85362,37512.82,176591,40381.58,189658,30152.31,141437
20150106,21.57,21.77,21.28,21.58,21.9,-0.32,-1.46,401167.2,863250.4358,3021687.7404,5.79,5.79,140022.6015,65137.9167,3.0049,8.8023,15.2478,2.901,4.2931,3026060.8432,140225.2476,2.865,6.1587,1.08,14103.6,65513,24963.2,115974,28350.71,131788,18907.39,87892,-8610.95,-40294,17975.16,83633,24568.95,114136,26640.65,123770,17140.14,79628
20150107,21.62,22.37,21.3,21.59,21.58,0.01,0.05,305945.83,666507.1916,3023087.9664,5.79,5.79,140022.6015,65137.9167,3.0063,8.8063,15.2548,2.9023,4.2951,3027463.0957,140225.2476,2.185,4.6969,0.76,6057.95,27722,18190.08,83425,23218.57,106593,19183.35,88202,-2962.45,-13940,6650.71,30609,19469.18,89330,21738.52,99718,18791.55,86286
20150108,21.58,22.06,21.28,21.64,21.59,0.05,0.23,302905.87,655702.8955,3030089.0965,5.78,5.78,140022.6015,65137.9167,3.0133,8.8267,15.2901,2.9091,4.305,3034474.3581,140225.2476,2.1633,4.6502,0.86,8673.42,40207,19942.56,91990,21492.93,99225,15459.33,71475,-1328.44,-6520,8795.81,40785,20623.91,95238,20842.5,96169,15306.03,70705
20150109,21.46,22.18,21.4,21.42,21.64,-0.22,-1.02,334665.99,731845.2222,2999284.1241,5.84,5.84,140022.6015,65137.9167,2.9827,8.737,15.1347,2.8795,4.2613,3003624.8036,140225.2476,2.3901,5.1378,0.92,11140.33,50842,20368.09,93060,24591.0,112504,17085.0,78260,2584.72,11498,9742.54,44592,20438.47,93370,24430.76,111692,18572.65,85012
20150112,19.5,19.95,19.28,19.37,21.42,-2.05,-9.57,847235.42,1652420.6995,2712237.7911,6.45,6.45,140022.6015,65137.9167,2.6972,7.9008,13.6862,2.6039,3.8534,2716163.046,140225.2476,6.0507,13.0068,2.19,28471.79,145950,42762.54,219049,50367.68,258320,43639.79,223916,-17735.62,-90950,40127.72,205935,46179.41,236534,44816.32,229772,34118.35,174995
20150113,19.2,19.54,18.8,19.1,19.37,-0.27,-1.39,388617.07,745822.1712,2674431.6887,6.54,6.54,140022.6015,65137.9167,2.6596,7.7907,13.4955,2.5676,3.7997,2678302.2292,140225.2476,2.7754,5.9661,0.89,10804.44,56284,18803.4,97940,23714.81,123526,21259.44,110867,-7194.54,-37868,16331.68,85361,18801.14,97817,21456.37,111684,17992.9,93755
20150114,19.19,19.49,19.06,19.24,19.1,0.14,0.73,206101.86,397070.6178,2694034.8529,6.5,6.5,140022.6015,65137.9167,2.6791,7.8478,13.5944,2.5864,3.8276,2697933.7638,140225.2476,1.4719,3.1641,0.47,6082.16,31536,9665.66,50132,12431.35,64542,11527.74,59893,260.64,1292,5038.55,26149,10448.63,54227,12938.4,67150,11281.33,58575
20150115,19.25,19.34,18.91,19.34,19.24,0.1,0.52,209329.01,400332.837,2708037.113,6.46,6.46,140022.6015,65137.9167,2.693,7.8886,13.665,2.5999,3.8475,2711956.2886,140225.2476,1.495,3.2136,0.5,4716.54,24653,9815.1,51312,12761.99,66749,12739.58,66615,-391.71,-2229,6435.47,33687,11314.33,59185,11795.46,61653,10487.95,54804
20150116,19.2,19.58,19.2,19.45,19.34,0.11,0.57,245400.24,476024.8104,2723439.5992,6.43,6.43,140022.6015,65137.9167,2.7083,7.9335,13.7428,2.6147,3.8694,2727381.0658,140225.2476,1.7526,3.7674,0.62,6675.4,34430,12793.27,65947,15948.28,82214,12185.46,62809,-118.18,-688,6833.3,35265,14889.59,76774,14616.94,75336,11262.6,58025
20150119,18.95,19.2,18.05,18.32,19.45,-1.13,-5.81,323864.9,608128.6722,2565214.0595,6.82,6.82,140022.6015,65137.9167,2.551,7.4725,12.9443,2.4628,3.6446,2568926.536,140225.2476,2.3129,4.972,0.85,5863.21,31147,12480.9,66434,19625.61,104544,20507.86,109361,-10755.77,-57283,11162.49,59277,15943.4,84962,16329.33,87023,15042.37,80224
20150120,18.39,18.84,18.39,18.66,18.32,0.34,1.86,195201.69,363648.3721,2612821.744,6.7,6.7,140022.6015,65137.9167,2.5983,7.6112,13.1846,2.5085,3.7122,2616603.1202,140225.2476,1.3941,2.9967,0.71,2297.58,12322,9370.37,50270,12249.91,65769,12431.18,66757,-1363.65,-7419,3022.11,16257,8618.76,46272,12413.62,66598,12294.54,65990
20150121,18.8,19.18,18.6,19.14,18.66,0.48,2.57,216654.12,410543.9015,2680032.5927,6.53,6.53,140022.6015,65137.9167,2.6652,7.807,13.5237,2.573,3.8077,2683911.2391,140225.2476,1.5473,3.3261,0.92,4152.38,21884,10671.24,56325,13365.5,70536,12865.13,67909,1069.74,5600,4280.01,22569,10027.21,52918,12439.59,65658,14307.45,75509
20150122,19.28,19.33,19.09,19.26,19.14,0.12,0.63,206974.82,397433.0715,2696835.3049,6.49,6.49,140022.6015,65137.9167,2.6819,7.856,13.6085,2.5891,3.8316,2700738.2688,140225.2476,1.4782,3.1775,0.87,4550.95,23679,10651.44,55464,13209.23,68804,11329.29,59015,-2261.1,-11840,7589.69,39575,9889.97,51501,11562.58,60196,10698.66,55691
20150123,19.3,19.45,19.14,19.22,19.26,-0.04,-0.21,190273.34,366942.8092,2691234.4008,6.5,6.5,140022.6015,65137.9167,2.6763,7.8396,13.5803,2.5837,3.8236,2695129.2589,140225.2476,1.3589,2.9211,0.8,3271.71,16952,10065.54,52171,12785.26,66308,10570.55,54837,-301.54,-1636,3787.8,19668,10029.07,51986,12775.68,66234,10100.49,52379
20150126,19.35,19.56,19.25,19.53,19.22,0.31,1.61,197943.59,384557.3884,2734641.4073,6.4,6.4,140022.6015,65137.9167,2.7195,7.9661,13.7993,2.6254,3.8853,2738599.0856,140225.2476,1.4137,3.0388,0.87,2391.48,12266,8967.69,46154,14970.83,77082,12124.69,62436,2786.27,14284,1498.27,7731,10203.23,52541,14574.76,75001,12178.42,62666
20150127,19.56,19.91,19.31,19.59,19.53,0.06,0.31,238416.54,467251.1772,2743042.7634,6.38,6.38,140022.6015,65137.9167,2.7278,7.9906,13.8417,2.6335,3.8972,2747012.6005,140225.2476,1.7027,3.6602,1.18,3801.89,19267,11705.39,59708,16834.32,85938,14383.43,73504,1014.61,4963,3802.8,19371,12253.61,62558,16649.69,84949,14018.94,71539
20150128,19.55,19.55,19.21,19.25,19.59,-0.34,-1.74,170086.43,329732.0691,2695435.0789,6.49,6.49,140022.6015,65137.9167,2.6805,7.8519,13.6015,2.5878,3.8296,2699336.0163,140225.2476,1.2147,2.6112,0.81,2692.16,13884,7646.98,39435,11932.71,61547,10699.5,55211,-4202.39,-21718,4902.54,25303,7844.94,40473,11566.93,59645,8656.93,44657
20150129,19.04,19.23,19.0,19.15,19.25,-0.1,-0.52,124218.26,237384.622,2681432.8187,6.53,6.53,140022.6015,65137.9167,2.6666,7.8111,13.5308,2.5743,3.8097,2685313.4915,140225.2476,0.8871,1.907,0.62,1330.07,6955,6186.0,32362,8319.02,43535,7903.28,41366,-2326.84,-12204,1877.85,9832,6438.04,33691,8404.76,43971,7017.71,36724
20150130,19.15,19.51,19.11,19.12,19.15,-0.03,-0.16,141771.79,273052.4008,2677232.1407,6.54,6.54,140022.6015,65137.9167,2.6624,7.7989,13.5096,2.5703,3.8037,2681106.7341,140225.2476,1.0125,2.1765,0.77,1090.14,5630,7487.45,38869,10021.88,52055,8704.36,45212,134.82,582,2173.0,11327,8272.44,42943,8609.5,44680,8248.89,42815
20150202,18.88,18.95,18.65,18.71,19.12,-0.41,-2.14,171121.51,320954.1949,2619822.8741,6.68,6.68,140022.6015,65137.9167,2.6053,7.6316,13.2199,2.5152,3.7221,2623614.3826,140225.2476,1.2221,2.6271,0.98,3562.16,19000,8580.87,45748,10131.32,54010,9821.01,52364,-3070.25,-16419,5921.25,31577,10013.71,53398,9080.67,48402,7079.73,37744
