trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,8.9,9.2,8.85,9.13,8.89,0.24,2.7,774843.86,703147.6653,1189427.7053,3.2859,3.2859,130276.8571,118543.6971,2.2938,12.3364,11.5145,2.45,2.6203,1894781.3663,207533.556,5.9477,6.5364,1.63,6238.84,68712,19275.9,212213,26247.47,289443,18552.41,204476,2449.58,26961,5425.65,59905,17318.95,190692,27154.74,299305,20415.27,224941
20150106,9.14,9.38,9.02,9.16,9.13,0.03,0.33,746965.58,687210.8983,1193336.011,3.2751,3.2751,130276.8571,118543.6971,2.3013,12.3769,11.5523,2.4581,2.6289,1901007.373,207533.556,5.7337,6.3012,1.31,5580.47,60291,19468.88,211578,25464.55,276962,18189.93,197948,647.92,6450,7441.33,80770,17976.23,195196,25380.54,276066,17905.74,194746
20150107,9.16,9.22,8.89,9.01,9.16,-0.15,-1.64,511580.63,462339.9713,1173794.4825,3.3296,3.3296,130276.8571,118543.6971,2.2636,12.1742,11.3631,2.4178,2.5859,1869877.3396,207533.556,3.9269,4.3155,0.79,1459.12,16137,12619.19,139633,18070.86,199908,14084.75,155903,-4589.71,-50940,3895.15,43171,12887.05,142637,16863.82,186483,12587.89,139290
20150108,9.02,9.29,8.86,9.13,9.01,0.12,1.33,644212.71,586836.072,1189427.7053,3.2859,3.2859,130276.8571,118543.6971,2.2938,12.3364,11.5145,2.45,2.6203,1894781.3663,207533.556,4.945,5.4344,1.0,7677.64,84285,14243.65,156390,21218.98,232977,15542.98,170558,4164.44,45500,3522.34,38627,13699.14,150651,24205.05,265683,17256.73,189249
20150109,9.17,9.22,8.88,8.89,9.13,-0.24,-2.63,543439.95,492238.6373,1158161.2596,3.3746,3.3746,130276.8571,118543.6971,2.2335,12.0121,11.2118,2.3856,2.5514,1844973.3128,207533.556,4.1714,4.5843,0.86,5689.02,62477,12226.42,135001,18279.17,201909,13029.2,144053,-1746.86,-20106,6963.13,76913,13823.15,152586,16943.9,186982,11493.63,126959
20150112,8.71,8.78,8.47,8.51,8.89,-0.38,-4.27,456347.47,392986.6105,1108656.0539,3.5253,3.5253,130276.8571,118543.6971,2.138,11.4986,10.7325,2.2836,2.4424,1766110.5616,207533.556,3.5029,3.8496,0.71,3793.87,44068,9921.51,115176,13660.97,158664,11922.2,138440,-3579.41,-41763,6507.07,75891,9935.3,115269,13182.62,152934,9673.56,112254
20150113,8.49,8.63,8.45,8.55,8.51,0.04,0.47,226769.7,193645.0027,1113867.1282,3.5088,3.5088,130276.8571,118543.6971,2.1481,11.5527,10.783,2.2944,2.4539,1774411.9038,207533.556,1.7407,1.913,0.39,385.97,4515,5811.58,68034,7118.59,83381,6044.79,70799,-522.26,-6250,2022.28,23724,5566.79,65202,6713.12,78580,5058.73,59223
20150114,8.56,8.61,8.39,8.42,8.55,-0.13,-1.52,229081.01,194589.8242,1096931.1368,3.5629,3.5629,130276.8571,118543.6971,2.1154,11.377,10.619,2.2595,2.4166,1747432.5415,207533.556,1.7584,1.9325,0.48,186.27,2181,4268.65,50275,8099.57,95350,6904.41,81275,-1503.25,-17794,860.14,10133,5098.03,60117,7569.43,89052,5931.3,69780
20150115,8.42,8.64,8.4,8.6,8.42,0.18,2.14,220789.17,188064.5588,1120380.9711,3.4884,3.4884,130276.8571,118543.6971,2.1606,11.6202,10.846,2.3078,2.4682,1784788.5816,207533.556,1.6948,1.8625,0.53,2246.48,26332,4068.69,47794,7101.47,83387,5389.77,63276,1460.88,17016,2087.27,24599,4695.58,55131,6767.72,79412,5255.84,61647
20150116,8.59,8.8,8.56,8.73,8.6,0.13,1.51,351928.16,305375.6438,1137316.9625,3.4364,3.4364,130276.8571,118543.6971,2.1933,11.7959,11.01,2.3427,2.5055,1811767.9439,207533.556,2.7014,2.9688,1.05,2927.83,33621,7829.74,90179,11119.2,128221,8660.75,99907,-2103.93,-24119,3829.45,43987,8206.78,94568,10331.33,119154,8169.94,94218
