trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,8.69,9.21,8.6,9.18,8.7,0.48,5.52,304684.38,274673.421,1504391.0739,3.8126,3.8126,163877.0233,58140.1647,2.5898,16.4306,32.9255,2.3923,2.9904,1504391.0739,163877.0233,1.8592,5.2405,1.59,3549.92,39183,7672.37,85116,9615.86,106774,6628.14,73601,4984.46,55138,1655.73,18471,7839.68,86921,9835.33,109133,8135.55,90148
20150106,9.1,9.26,8.96,9.23,9.18,0.05,0.54,208490.62,189673.874,1512584.9251,3.792,3.792,163877.0233,58140.1647,2.6039,16.5201,33.1048,2.4053,3.0067,1512584.9251,163877.0233,1.2722,3.586,0.99,1302.91,14244,4164.09,45766,7964.98,87586,5534.0,60880,811.2,8678,597.77,6601,5437.33,59764,7770.49,85425,5160.39,56686
20150107,9.25,9.9,9.14,9.78,9.23,0.55,5.96,456938.0,435681.633,1602717.2879,3.5787,3.5787,163877.0233,58140.1647,2.759,17.5045,35.0774,2.5486,3.1859,1602717.2879,163877.0233,2.7883,7.8592,2.19,2537.54,26578,10804.55,113273,16931.02,177673,13292.36,139388,3009.31,30788,2772.44,29178,10166.97,106719,16432.7,172326,14193.36,148688
20150108,9.6,9.72,9.35,9.37,9.78,-0.41,-4.19,252560.97,240355.117,1535527.7083,3.7353,3.7353,163877.0233,58140.1647,2.6434,16.7706,33.6069,2.4418,3.0523,1535527.7083,163877.0233,1.5412,4.344,1.0,17.19,179,4555.91,47843,10549.62,110830,8912.76,93709,-2953.56,-31256,2368.58,24999,5600.92,58876,8827.76,92664,7238.22,76022
20150109,9.38,9.52,9.03,9.1,9.37,-0.27,-2.88,233912.07,218383.048,1491280.912,3.8462,3.8462,163877.0233,58140.1647,2.5672,16.2874,32.6385,2.3714,2.9644,1491280.912,163877.0233,1.4274,4.0232,0.87,1321.93,14017,4410.65,47209,8424.31,90269,7681.11,82414,-2034.27,-22141,2476.63,26368,6457.71,69277,7544.49,80816,5359.17,57449
20150112,9.08,9.08,8.63,8.85,9.1,-0.25,-2.75,166070.32,146611.142,1450311.6562,3.9548,3.9548,163877.0233,58140.1647,2.4967,15.8399,31.7419,2.3063,2.8829,1450311.6562,163877.0233,1.0134,2.8564,0.57,87.91,999,1920.85,21767,6204.9,70295,6447.4,73010,-1531.03,-17411,770.91,8746,3420.36,38802,5993.05,67866,4476.74,50655
20150113,8.8,8.93,8.7,8.87,8.85,0.02,0.23,101701.96,89678.224,1453589.1967,3.9459,3.9459,163877.0233,58140.1647,2.5023,15.8757,31.8136,2.3115,2.8894,1453589.1967,163877.0233,0.6206,1.7493,0.39,0.0,0,1737.27,19677,4096.54,46455,3133.99,35571,-1533.82,-17517,435.71,4979,3117.38,35388,3345.64,37911,2069.09,23424
20150114,8.82,8.9,8.36,8.5,8.87,-0.37,-4.17,171356.83,147678.933,1392954.6981,4.1176,4.1176,163877.0233,58140.1647,2.3979,15.2135,30.4865,2.2151,2.7689,1392954.6981,163877.0233,1.0456,2.9473,0.71,148.41,1695,3302.25,38315,6241.11,72439,5076.09,58908,-2953.68,-34422,814.83,9515,5589.52,64916,5161.27,59833,3202.25,37092
20150115,8.57,8.78,8.42,8.77,8.5,0.27,3.18,117233.83,101178.46,1437201.4943,3.9909,3.9909,163877.0233,58140.1647,2.4741,15.6967,31.4549,2.2854,2.8569,1437201.4943,163877.0233,0.7154,2.0164,0.63,833.85,9637,2198.63,25417,4142.11,48035,2943.25,34144,977.91,11165,857.78,9915,2127.61,24689,3886.03,45045,3246.41,37585
20150116,8.89,8.98,8.68,8.72,8.77,-0.05,-0.57,140820.52,124260.417,1429007.6432,4.0138,4.0138,163877.0233,58140.1647,2.46,15.6072,31.2756,2.2724,2.8406,1429007.6432,163877.0233,0.8593,2.4221,0.89,341.22,3880,2036.93,23072,5860.52,66408,4187.34,47461,-777.25,-8913,507.95,5783,4218.97,47843,4613.13,52269,3085.96,34926
20150119,8.4,8.53,7.88,8.12,8.72,-0.6,-6.88,287198.76,236511.726,1330681.4292,4.3103,4.3103,163877.0233,58140.1647,2.2907,14.5334,29.1236,2.116,2.6451,1330681.4292,163877.0233,1.7525,4.9398,2.06,3335.4,40608,3788.13,46242,7402.0,89724,8515.71,103257,-3864.62,-46980,3921.42,47718,7441.19,90353,6759.81,82051,4918.83,59708
20150120,8.12,8.39,8.12,8.31,8.12,0.19,2.34,124384.28,102817.612,1361818.0636,4.2118,4.2118,163877.0233,58140.1647,2.3443,14.8734,29.8051,2.1656,2.707,1361818.0636,163877.0233,0.759,2.1394,0.76,120.61,1446,2531.08,30587,4329.48,52381,3300.14,39964,-205.26,-2554,561.88,6819,2362.97,28600,4161.09,50311,3195.38,38649
20150121,8.37,8.61,8.2,8.56,8.31,0.25,3.01,156528.37,132976.134,1402787.3194,4.0888,4.0888,163877.0233,58140.1647,2.4149,15.3209,30.7017,2.2307,2.7885,1402787.3194,163877.0233,0.9552,2.6923,0.93,585.75,6903,3234.38,38019,5409.75,63721,4067.72,47885,-91.15,-1120,1239.26,14551,3033.26,35713,5136.25,60510,3888.83,45754
20150122,8.58,8.68,8.51,8.67,8.56,0.11,1.29,108378.17,93407.306,1420813.792,4.0369,4.0369,163877.0233,58140.1647,2.4459,15.5178,31.0963,2.2594,2.8243,1420813.792,163877.0233,0.6613,1.8641,0.66,8.86,103,2735.27,31742,3826.76,44388,2769.81,32145,-135.83,-1659,454.63,5292,2157.27,25041,3908.31,45341,2820.49,32705
20150123,8.98,9.15,8.74,8.86,8.67,0.19,2.19,239515.81,213030.512,1451950.4264,3.9503,3.9503,163877.0233,58140.1647,2.4995,15.8578,31.7777,2.3089,2.8862,1451950.4264,163877.0233,1.4616,4.1196,1.47,972.47,10858,5352.92,60244,8308.21,93424,6666.73,74960,-2135.57,-24279,1849.46,20807,5566.2,62748,8009.39,89962,5875.28,65968
20150126,8.85,8.98,8.69,8.97,8.86,0.11,1.24,162888.75,144156.313,1469976.899,3.9019,3.9019,163877.0233,58140.1647,2.5305,16.0547,32.1723,2.3376,2.922,1469976.899,163877.0233,0.994,2.8017,0.89,447.72,5002,3342.29,37680,5984.35,67737,4641.25,52470,-864.75,-10090,1669.6,19036,3245.67,36706,5299.12,59804,4201.22,47343
20150127,9.0,9.03,8.67,8.88,8.97,-0.09,-1.0,170755.42,150890.525,1455227.9669,3.9414,3.9414,163877.0233,58140.1647,2.5051,15.8936,31.8495,2.3141,2.8927,1455227.9669,163877.0233,1.042,2.937,1.08,558.33,6291,3332.21,37680,6217.86,70389,4980.62,56394,-2296.72,-26170,2511.61,28503,3706.69,42000,5214.74,58933,3655.98,41319
20150128,8.83,8.88,8.72,8.77,8.88,-0.11,-1.24,95257.66,83753.546,1437201.4943,3.9909,3.9909,163877.0233,58140.1647,2.4741,15.6967,31.4549,2.2854,2.8569,1437201.4943,163877.0233,0.5813,1.6384,0.57,235.97,2684,1669.92,18993,3950.51,44915,2518.94,28666,-1127.33,-12885,401.19,4562,2349.46,26743,3336.19,37931,2288.49,26022
