trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,6.37,6.68,6.37,6.65,6.32,0.33,5.22,839499.93,550863.381,1138916.5944,4.51,4.51,171265.6533,117945.9291,2.384,10.369,11.3826,2.0302,2.4174,1148197.3125,172661.25,4.9017,7.1177,1.7,3194.49,48598,12479.92,190480,19525.82,297525,19885.24,302886,6988.67,106107,3090.67,47045,11250.3,171740,19504.42,297220,21240.09,323484
20150106,6.64,6.85,6.5,6.82,6.65,0.17,2.56,814817.18,542765.2204,1168031.7555,4.4,4.4,171265.6533,117945.9291,2.4449,10.6341,11.6736,2.0821,2.4792,1177549.725,172661.25,4.7576,6.9084,1.42,6096.73,91124,15289.79,229828,17352.78,260794,15533.31,233016,2722.77,39550,3853.76,58132,14688.83,220733,18594.98,279221,17135.06,256676
20150107,6.75,6.85,6.63,6.77,6.82,-0.05,-0.73,432999.55,292305.764,1159468.4728,4.43,4.43,171265.6533,117945.9291,2.427,10.5561,11.588,2.0668,2.461,1168916.6625,172661.25,2.5282,3.6712,0.69,1700.31,25168,7179.86,106486,10392.45,153875,9957.08,147459,-1291.7,-19251,2071.36,30738,6921.69,102572,10625.0,157337,9611.65,142341
20150108,6.77,6.8,6.54,6.55,6.77,-0.22,-3.25,457434.13,304091.9213,1121790.0291,4.58,4.58,171265.6533,117945.9291,2.3481,10.2131,11.2115,1.9997,2.3811,1130931.1875,172661.25,2.6709,3.8783,0.8,2122.09,31726,7376.48,110856,10241.18,154223,10669.39,160629,-2880.99,-43592,3205.74,48200,7693.19,115766,9965.69,149960,9544.54,143508
20150109,6.52,6.65,6.5,6.5,6.55,-0.05,-0.76,351458.9,231042.5679,1113226.7465,4.62,4.62,171265.6533,117945.9291,2.3302,10.1351,11.1259,1.9844,2.3629,1122298.125,172661.25,2.0521,2.9798,0.6,1560.43,23719,6526.5,99263,7951.78,120945,7064.85,107523,-2937.78,-44836,1125.74,17154,6602.25,100464,8314.68,126430,7060.89,107401
20150112,6.44,6.45,6.1,6.16,6.5,-0.34,-5.23,452526.79,282065.6999,1054996.4243,4.87,4.87,171265.6533,117945.9291,2.2083,9.605,10.5439,1.8806,2.2393,1063593.3,172661.25,2.6423,3.8367,0.78,550.92,8828,6259.94,100447,10446.07,167553,10949.34,175696,-4824.21,-77549,2989.78,47710,7424.85,119397,9696.76,155612,8094.88,129805
20150113,6.15,6.23,6.11,6.2,6.16,0.04,0.65,197440.84,121895.345,1061847.0505,4.84,4.84,171265.6533,117945.9291,2.2226,9.6673,10.6124,1.8928,2.2538,1070499.75,172661.25,1.1528,1.674,0.39,135.68,2198,3380.33,54729,4321.3,69995,4352.17,70519,8.65,42,311.27,5049,3696.29,59875,4514.7,73117,3667.21,59400
20150114,6.16,6.3,6.16,6.27,6.2,0.07,1.13,252071.3,157401.2365,1073835.6462,4.78,4.78,171265.6533,117945.9291,2.2477,9.7765,10.7322,1.9142,2.2793,1082586.0375,172661.25,1.4718,2.1372,0.67,540.2,8695,4595.89,73564,5925.47,94903,4678.31,74906,130.13,2076,1033.63,16614,3972.33,63569,5714.86,91526,5019.05,80359
20150115,6.26,6.41,6.18,6.41,6.27,0.14,2.23,248935.61,157673.9955,1097812.8377,4.68,4.68,171265.6533,117945.9291,2.2979,9.9948,10.9718,1.9569,2.3302,1106758.6125,172661.25,1.4535,2.1106,0.73,695.77,10907,4371.74,69034,5324.95,84145,5374.89,84849,1628.48,25302,925.99,14741,4023.81,63583,5303.95,83719,5513.6,86893
20150116,6.41,6.55,6.41,6.5,6.41,0.09,1.4,350332.77,227635.0225,1113226.7465,4.62,4.62,171265.6533,117945.9291,2.3302,10.1351,11.1259,1.9844,2.3629,1122298.125,172661.25,2.0456,2.9703,1.17,1205.55,18538,5022.72,77343,9371.56,144214,7162.51,110221,2731.61,41927,1479.29,22775,5457.5,84006,8996.12,138460,6829.43,105076
