trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,circ_mv,dv_ratio,dv_ttm,float_share,free_share,pb,pe,pe_ttm,ps,ps_ttm,total_mv,total_share,turnover_rate,turnover_rate_f,volume_ratio,buy_elg_amount,buy_elg_vol,buy_lg_amount,buy_lg_vol,buy_md_amount,buy_md_vol,buy_sm_amount,buy_sm_vol,net_mf_amount,net_mf_vol,sell_elg_amount,sell_elg_vol,sell_lg_amount,sell_lg_vol,sell_md_amount,sell_md_vol,sell_sm_amount,sell_sm_vol
20150105,6.19,6.35,6.04,6.34,6.18,0.16,2.59,132216.14,82162.6,738990.4,3.47,3.47,116560.0,23676.4279,1.4278,12.4018,12.0572,4.5129,4.4391,1051558.74,165861.0,1.1343,5.5843,1.04,509.18,8172,1734.5,27816,2848.52,45882,3124.02,50345,-386.56,-6316,380.3,6201,1455.28,23587,3015.48,48523,3365.16,53905
20150106,6.51,6.78,6.51,6.69,6.34,0.35,5.52,315823.64,209509.874,779786.4,3.29,3.29,116560.0,23676.4279,1.5066,13.0864,12.7228,4.7621,4.6842,1109610.09,165861.0,2.7095,13.3392,2.54,1344.74,20071,5125.55,77354,6487.52,97875,7993.12,120523,1279.49,18885,1316.85,19797,4325.12,65252,6842.09,103210,8466.85,127564
20150107,6.58,6.58,6.39,6.49,6.69,-0.2,-2.99,146690.62,94871.453,756474.4,3.39,3.39,116560.0,23676.4279,1.4616,12.6952,12.3425,4.6197,4.5441,1076437.89,165861.0,1.2585,6.1956,0.95,23.49,363,1068.5,16507,3757.11,58081,4638.03,71740,-461.99,-7221,168.7,2612,1608.87,24909,3950.2,61059,3759.36,58111
20150108,6.49,6.5,6.3,6.31,6.49,-0.18,-2.77,100850.3,64250.059,735493.6,3.49,3.49,116560.0,23676.4279,1.421,12.3431,12.0001,4.4916,4.4181,1046582.91,165861.0,0.8652,4.2595,0.68,0.0,0,1179.08,18471,2201.35,34563,3044.55,47816,-1231.23,-19404,114.03,1795,741.83,11650,2879.58,45217,2689.55,42188
20150109,6.3,6.43,6.22,6.27,6.31,-0.04,-0.63,85598.49,54040.511,730831.2,3.51,3.51,116560.0,23676.4279,1.412,12.2648,11.9241,4.4631,4.3901,1039948.47,165861.0,0.7344,3.6153,0.57,0.0,0,588.74,9296,1854.49,29364,2960.81,46938,139.64,2166,0.0,0,805.65,12781,2221.99,35210,2376.4,37608
20150112,6.27,6.27,6.02,6.06,6.27,-0.21,-3.35,71127.82,43283.716,706353.6,3.63,3.63,116560.0,23676.4279,1.3647,11.8541,11.5247,4.3136,4.243,1005117.66,165861.0,0.6102,3.0042,0.46,0.0,0,371.11,6105,1361.01,22366,2596.19,42658,-841.89,-13912,121.94,2000,693.55,11399,1413.47,23233,2099.35,34496
20150113,6.05,6.16,6.02,6.13,6.06,0.07,1.16,48782.25,29770.395,714512.8,3.59,3.59,116560.0,23676.4279,1.3805,11.991,11.6578,4.3634,4.2921,1016727.93,165861.0,0.4185,2.0604,0.34,217.63,3568,384.89,6282,1059.66,17364,1314.85,21569,718.31,11702,275.85,4530,405.95,6676,1057.5,17312,1237.73,20264
20150114,6.13,6.13,5.95,5.98,6.13,-0.15,-2.45,48141.34,29019.39,697028.8,3.68,3.68,116560.0,23676.4279,1.3467,11.6976,11.3726,4.2567,4.187,991848.78,165861.0,0.413,2.0333,0.53,0.0,0,162.12,2693,950.98,15783,1788.83,29665,-879.65,-14606,259.05,4298,485.27,8091,978.91,16228,1178.7,19524
20150115,5.98,6.07,5.88,6.07,5.98,0.09,1.51,55486.33,33208.393,707519.2,3.62,3.62,116560.0,23676.4279,1.367,11.8736,11.5437,4.3207,4.25,1006776.27,165861.0,0.476,2.3435,0.78,177.97,2937,305.12,5081,1121.93,18755,1715.8,28714,-509.96,-8550,0.0,0,331.77,5557,896.44,14956,2092.61,34974
20150116,6.08,6.12,6.04,6.09,6.07,0.02,0.33,46727.32,28413.713,709850.4,3.61,3.61,116560.0,23676.4279,1.3715,11.9127,11.5817,4.335,4.264,1010093.49,165861.0,0.4009,1.9736,0.76,87.02,1434,508.53,8361,937.0,15405,1308.81,21527,-131.85,-2206,114.31,1882,543.7,8946,984.06,16182,1199.3,19717
20150119,5.88,5.93,5.56,5.59,6.09,-0.5,-8.21,74489.59,42951.085,651570.4,3.94,3.94,116560.0,23676.4279,1.2589,10.9347,10.6309,3.9791,3.914,927162.99,165861.0,0.6391,3.1461,1.38,0.0,0,279.96,4881,1278.16,22089,2587.8,44958,-678.94,-11907,103.33,1765,583.82,10139,1491.94,25878,1966.83,34146
20150120,5.61,5.81,5.61,5.74,5.59,0.15,2.68,53958.77,30888.884,669054.4,3.83,3.83,116560.0,23676.4279,1.2926,11.2281,10.9161,4.0858,4.019,952042.14,165861.0,0.4629,2.279,0.99,0.0,0,517.58,9016,1119.68,19573,1451.61,25369,-186.16,-3259,0.0,0,358.03,6273,1245.74,21773,1485.11,25913
20150121,5.76,6.06,5.76,6.03,5.74,0.29,5.05,80228.29,47794.083,702856.8,3.65,3.65,116560.0,23676.4279,1.358,11.7954,11.4676,4.2923,4.222,1000141.83,165861.0,0.6883,3.3885,1.44,7.25,121,916.48,15365,1868.39,31332,1987.27,33410,519.28,8672,0.6,10,482.36,8079,1854.99,31128,2441.45,41011
20150122,6.02,6.04,5.96,6.03,6.03,0.0,0.0,47353.64,28395.896,702856.8,3.65,3.65,116560.0,23676.4279,1.358,11.7954,11.4676,4.2923,4.222,1000141.83,165861.0,0.4063,2.0,0.76,46.61,782,433.87,7231,1088.82,18152,1270.28,21189,-441.87,-7402,45.82,765,596.51,9952,946.47,15780,1250.77,20857
20150123,6.03,6.06,5.93,5.96,6.03,-0.07,-1.16,43265.34,25893.32,694697.6,3.69,3.69,116560.0,23676.4279,1.3422,11.6584,11.3345,4.2424,4.173,988531.56,165861.0,0.3712,1.8274,0.71,0.0,0,321.77,5377,1096.86,18320,1170.69,19569,-731.83,-12239,0.0,0,617.54,10308,983.38,16440,988.4,16518
20150126,5.97,6.02,5.9,6.01,5.96,0.05,0.84,48336.9,28721.207,700525.6,3.66,3.66,116560.0,23676.4279,1.3535,11.7563,11.4296,4.278,4.208,996824.61,165861.0,0.4147,2.0416,0.81,0.0,0,421.71,7093,985.98,16594,1464.43,24650,-60.87,-1080,160.55,2712,509.22,8596,952.16,16007,1250.18,21022
20150127,6.0,6.11,5.9,6.09,6.01,0.08,1.33,75034.66,45260.624,709850.4,3.61,3.61,116560.0,23676.4279,1.3715,11.9127,11.5817,4.335,4.264,1010093.49,165861.0,0.6437,3.1692,1.37,36.29,603,906.38,15011,1667.88,27642,1915.51,31779,229.23,3763,141.87,2353,663.43,11021,1791.61,29687,1929.14,31974
20150128,6.04,6.08,5.97,6.01,6.09,-0.08,-1.31,46359.11,27946.448,700525.6,3.66,3.66,116560.0,23676.4279,1.3535,11.7563,11.4296,4.278,4.208,996824.61,165861.0,0.3977,1.958,0.79,0.0,0,295.63,4904,891.9,14793,1607.12,26662,-481.56,-8017,7.13,118,376.47,6264,956.31,15860,1454.74,24118
20150129,5.95,6.08,5.9,5.99,6.01,-0.02,-0.33,41369.13,24779.326,698194.4,3.67,3.67,116560.0,23676.4279,1.349,11.7171,11.3916,4.2638,4.194,993507.39,165861.0,0.3549,1.7473,0.79,0.0,0,258.93,4329,820.42,13684,1398.58,23357,-5.01,-99,0.0,0,307.88,5150,716.61,11970,1453.44,24249
20150130,5.99,6.02,5.9,5.91,5.99,-0.08,-1.34,36143.4,21530.659,688869.6,3.72,3.72,116560.0,23676.4279,1.3309,11.5606,11.2394,4.2068,4.138,980238.51,165861.0,0.3101,1.5266,0.71,0.9,15,194.07,3270,840.13,14095,1117.95,18764,-228.89,-3886,118.46,1999,359.72,6056,707.53,11860,967.34,16229
20150202,5.85,5.88,5.73,5.8,5.91,-0.11,-1.86,39132.05,22732.498,676048.0,3.79,3.79,116560.0,23676.4279,1.3062,11.3455,11.0302,4.1285,4.061,961993.8,165861.0,0.3357,1.6528,0.79,143.96,2482,258.25,4450,609.06,10485,1261.98,21715,237.81,4103,151.44,2611,393.95,6796,704.18,12122,1023.68,17603
20150203,5.76,5.91,5.76,5.9,5.8,0.1,1.72,26646.99,15621.358,687704.0,3.73,3.73,116560.0,23676.4279,1.3287,11.5411,11.2204,4.1997,4.131,978579.9,165861.0,0.2286,1.1255,0.56,0.0,0,84.22,1435,516.21,8801,961.69,16411,34.87,578,1.65,28,213.96,3646,592.29,10102,754.23,12871
20150204,5.92,5.96,5.86,5.87,5.9,-0.03,-0.51,26382.98,15628.557,684207.2,3.75,3.75,116560.0,23676.4279,1.3219,11.4824,11.1634,4.1784,4.11,973604.07,165861.0,0.2263,1.1143,0.7,177.11,2981,100.21,1695,534.91,9039,750.62,12668,157.28,2624,143.56,2417,236.11,3994,525.26,8869,657.92,11103
20150205,5.98,5.99,5.68,5.75,5.87,-0.12,-2.04,38455.11,22395.152,670220.0,3.83,3.83,116560.0,23676.4279,1.2949,11.2477,10.9351,4.093,4.026,953700.75,165861.0,0.3299,1.6242,1.13,0.0,0,237.83,4080,637.92,10949,1363.75,23427,-565.42,-9671,0.0,0,107.56,1867,721.58,12439,1410.36,24149
20150206,5.69,5.8,5.6,5.63,5.75,-0.12,-2.09,40686.94,23076.456,656232.8,3.91,3.91,116560.0,23676.4279,1.2679,11.0129,10.7069,4.0075,3.942,933797.43,165861.0,0.3491,1.7185,1.22,0.0,0,145.94,2568,843.87,14881,1317.83,23238,-795.96,-14072,172.77,3039,345.9,6101,591.97,10447,1197.01,21100
20150209,5.63,5.94,5.54,5.72,5.63,0.09,1.6,44857.69,25839.467,666723.2,3.85,3.85,116560.0,23676.4279,1.2881,11.189,10.8781,4.0716,4.005,948724.92,165861.0,0.3848,1.8946,1.31,30.16,515,257.83,4484,925.72,16046,1370.23,23813,-232.18,-4046,0.0,0,437.29,7597,799.79,13895,1346.86,23365
20150210,5.72,5.85,5.65,5.82,5.72,0.1,1.75,22560.63,13073.467,678379.2,3.78,3.78,116560.0,23676.4279,1.3107,11.3846,11.0683,4.1428,4.075,965311.02,165861.0,0.1936,0.9529,0.64,0.0,0,59.35,1019,428.94,7392,819.05,14150,75.88,1277,0.0,0,75.8,1310,466.98,8066,764.57,13184
20150211,5.82,5.88,5.76,5.8,5.82,-0.02,-0.34,25051.46,14574.772,676048.0,3.79,3.79,116560.0,23676.4279,1.3062,11.3455,11.0302,4.1285,4.061,961993.8,165861.0,0.2149,1.0581,0.72,0.0,0,297.57,5111,471.28,8110,688.62,11831,124.07,2145,171.14,2966,258.75,4446,446.24,7663,581.33,9976
20150212,5.8,5.82,5.72,5.73,5.8,-0.07,-1.21,42427.43,24400.088,667888.8,3.84,3.84,116560.0,23676.4279,1.2904,11.2085,10.8971,4.0787,4.012,950383.53,165861.0,0.364,1.792,1.24,0.0,0,228.06,3969,946.28,16450,1265.66,22008,214.54,3712,0.0,0,417.4,7262,888.09,15440,1134.52,19725
20150213,5.75,5.87,5.75,5.85,5.73,0.12,2.09,36516.13,21258.442,681876.0,3.76,3.76,116560.0,23676.4279,1.3174,11.4433,11.1253,4.1641,4.096,970286.85,165861.0,0.3133,1.5423,1.04,0.0,0,262.66,4506,856.59,14731,1006.6,17280,446.64,7657,0.0,0,324.06,5564,740.32,12732,1061.45,18220
20150216,5.85,5.92,5.84,5.91,5.85,0.06,1.03,26808.8,15780.547,688869.6,3.72,3.72,116560.0,23676.4279,1.3309,11.5606,11.2394,4.2068,4.138,980238.51,165861.0,0.23,1.1323,0.78,0.0,0,161.56,2743,579.77,9854,836.71,14212,255.18,4321,114.15,1938,279.58,4749,465.11,7904,719.21,12218
20150217,6.05,6.5,6.05,6.27,5.91,0.36,6.09,142585.54,89707.606,730831.2,3.51,3.51,116560.0,23676.4279,1.412,12.2648,11.9241,4.4631,4.3901,1039948.47,165861.0,1.2233,6.0223,4.65,1016.56,15895,2047.62,32534,2874.98,45840,3031.57,48317,620.9,9674,0.0,0,1568.01,24739,3608.98,57447,3793.75,60400
20150225,6.19,6.25,6.06,6.23,6.27,-0.04,-0.64,81768.83,50302.618,726168.8,3.53,3.53,116560.0,23676.4279,1.403,12.1866,11.848,4.4346,4.3621,1033314.03,165861.0,0.7015,3.4536,1.5,895.38,14491,828.36,13450,1312.97,21355,1993.52,32473,553.71,8886,661.71,10687,821.29,13365,1457.53,23753,2089.7,33964
